Address,AddrCoor,latitude,Longitude
Marinette Trail,"Marinette Trl, Madison, Wisconsin, 53705",43.06372268585192,-89.47040002065474
622 E. Gorham St.,"622 E Gorham St, Madison, Wisconsin, 53703",43.081928383547954,-89.3816296635691
1600 block North Thompson Dr.,"1600 N Thompson Dr, Madison, Wisconsin, 53704",43.11923553766019,-89.29787600281578
829 West Washington Avenue,"829 W Washington Ave, Madison, Wisconsin, 53715",43.063585996311744,-89.39971564276863
1900 block of Christine Lane,"1900 Christine Ln, Madison, Wisconsin, 53716",43.072302569238275,-89.29268672327417
5100 block Great Gray Dr.,"5100 Great Gray Dr, Madison, Wisconsin, 53718",43.03658508312951,-89.29473674538215
406 S. Park Street,"406 S Park St, Madison, Wisconsin, 53715",43.06287524562873,-89.40091055539827
41 S. Bassett Street,"41 S Bassett St, Madison, Wisconsin, 53703",43.06943111102769,-89.38972229626646
41 S. Bassett Street,"41 S Bassett St, Madison, Wisconsin, 53703",43.06943111102769,-89.38972229626646
John Nolen Dr.,"John Nolen Dr, Madison, Wisconsin, 53715",43.05825237187136,-89.38409284862941
1700 block Fordem Ave.,"1700 Fordem Ave, Madison, Wisconsin, 53704",43.09461380057731,-89.3636033788602
605 Cottage Grove Rd.,"605 Cottage Grove Rd, Madison, Wisconsin, 53716",43.08390050620376,-89.31563146805948
4300 block Green Ave.,"4300 Green Ave, Madison, Wisconsin, 53704",43.14170165327736,-89.3977590399446
School Rd.,"School Rd, Madison, Wisconsin, 53704",43.14087070377915,-89.38296710538583
Pennsylvania Ave.,"Pennsylvania Ave, Madison, Wisconsin, 53704",43.09766258737195,-89.36018171197574
951 S. Park St.,"951 S Park St, Madison, Wisconsin, 53715",43.057314397455066,-89.39903477710789
Graceland Ave.,"Graceland Ave, Madison, Wisconsin, 53704",43.116663601764195,-89.32854506656938
702 Pflaum Rd.,"702 Pflaum Rd, Madison, Wisconsin, 53716",43.06208650894319,-89.31984202553522
600 block N. Frances St.,"600 N Frances St, Madison, Wisconsin, 53703",43.07581352748853,-89.3953866547525
4550 Verona Rd.,"4550 Verona Rd, Madison, Wisconsin, 53711",43.035533450516084,-89.45666218318996
939 S. Park St.,"939 S Park St, Madison, Wisconsin, 53715",43.057314397455066,-89.39903477710789
201 W Mifflin St,"201 W Mifflin St, Madison, Wisconsin, 53703",43.07374140048484,-89.38774604244345
916 Regent St,"916 Regent St, Madison, Wisconsin, 53715",43.06769947489746,-89.40194958090484
4905 Commercial Ave.,"4905 Commercial Ave, Madison, Wisconsin, 53704",43.10648254558878,-89.29799002553523
Williamson St.,"Williamson St, Madison, Wisconsin, 53703",43.08159265938293,-89.36667356294464
216 Cottage Grove Rd.,"216 Cottage Grove Rd, Madison, Wisconsin, 53716",43.08372347547438,-89.32315363780367
2400 block Allied Dr.,"2400 Allied Dr, Madison, Wisconsin, 53711",43.02672821390447,-89.45984027089492
Interstate 90,"I-90 W, Madison, Wisconsin, 53718",43.10724636231268,-89.2827051757227
2102 S. Park St.,"2102 S Park St, Madison, Wisconsin, 53713",43.043093999999996,-89.39414008814687
5800 block Russett Road,"5800 Russett Rd, Madison, Wisconsin, 53711",43.032827035487934,-89.48098558093561
600 block S. Park St.,"600 N Park St, Madison, Wisconsin, 53706",43.07629309797628,-89.40063546072925
4200 block School Rd,"4200 School Rd, Madison, Wisconsin, 53704",43.139587384572096,-89.3830477994088
688 S Whitney Way,"688 S Whitney Way, Madison, Wisconsin, 53711",43.05089699999999,-89.47364763488855
36 S. Bassett Street,"36 S Bassett St, Madison, Wisconsin, 53703",43.06973423109449,-89.39028683961311
McKenna Blvd.,"McKenna Blvd, Madison, Wisconsin, 53719",43.03929135125177,-89.50352563472323
7000 block Carnwood Rd.,"7000 Carnwood Rd, Madison, Wisconsin, 53719",43.01983625910404,-89.5031902954704
200 block E. Mifflin St.,"200 W Mifflin St, Madison, Wisconsin, 53703",43.074071705564144,-89.38743027400496
2958 E. Washington Ave.,"2958 E Washington Ave, Madison, Wisconsin, 53704",43.10373622872049,-89.34324218125673
Anderson St.,"Anderson St, Madison, Wisconsin, 53704",43.12095501646336,-89.33884622039572
1 block of Westbrook Circle,"1 Westbrook Cir, Madison, Wisconsin, 53711",43.03077255063776,-89.49044219608747
300 block N. Hamilton St.,"300 S Hamilton St, Madison, Wisconsin, 53703",43.07039991129608,-89.38430301019389
Warner St.,"Warner St, Madison, Wisconsin, 53713",43.03349109603665,-89.37368990396335
Pinewood Court,"Pinewood Ct, Madison, Wisconsin, 53714",43.10577772619887,-89.30895612195874
1 E. Wilson St.,"1 E Wilson St, Madison, Wisconsin, 53703",43.072517307149575,-89.3811944966798
200 block N. Thompson Dr.,"200 S Thompson Dr, Madison, Wisconsin, 53714",43.09646598464329,-89.28687010945589
201 Junction Rd.,"201 Junction Rd, Madison, Wisconsin, 53717",43.06237615041273,-89.52724319767587
261 Junction Rd,"261 Junction Rd, Madison, Wisconsin, 53717",43.06470221919945,-89.52617251794742
1 Dempsey Road,"1 Dempsey Rd, Madison, Wisconsin, 53714",43.09788794892956,-89.3174953968495
555 W Mifflin St,"555 W Mifflin St, Madison, Wisconsin, 53703",43.069788367736265,-89.39338574672523
East Washington Ave/Milwaukee Street,"E Washington Ave & Milwaukee St, Madison, Wisconsin, 53704",43.100351999999994,-89.348643
Westbury Place,"Westbury Pl, Madison, Wisconsin, 53711",43.04100137311452,-89.47655661536
1625 N. Stoughton Rd.,"1625 N Stoughton Rd, Madison, Wisconsin, 53704",43.120611146546246,-89.32478450620376
1900 block S. Park St.,"1900 Park St, Middleton, Wisconsin, 53562",43.09622224696147,-89.50180096985892
4 Collins Court,"4 Collins Ct, Madison, Wisconsin, 53716",43.04732510101573,-89.3049343901548
4500 block Onyx Lane,"4500 Onyx Ln, Madison, Wisconsin, 53714",43.09201607500012,-89.30508376499978
750 Hilldale Way,"750 Hilldale Way, Madison, Wisconsin, 53705",43.07403772390173,-89.4534638429499
800 block of Williamson Street,"800 Williamson St, Madison, Wisconsin, 53703",43.078451457412335,-89.37122965072983
S. Park St.,"S Park St, Madison, Wisconsin, 53715",43.04895513843769,-89.3941335
726 N. Midvale Blvd.,"726 N Midvale Blvd, Madison, Wisconsin, 53705",43.07389938409957,-89.45131446253257
4601 Verona Rd.,"4601 Verona Rd, Madison, Wisconsin, 53711",43.034964916440785,-89.45449950372225
700 block University Ave.,"700 University Ave, Madison, Wisconsin, 53715",43.073215146172444,-89.39750028390957
1500 block Williamson St.,"1500 Williamson St, Madison, Wisconsin, 53703",43.08734500833856,-89.35909310286205
300 block Junction Rd.,"300 Junction Rd, Madison, Wisconsin, 53717",43.06647854762646,-89.52454285091768
211 South Carroll St.,"211 S Carroll St, Madison, Wisconsin, 53703",43.07207946658759,-89.38293338129759
100 North Blount Street,"100 N Blount St, Madison, Wisconsin, 53703",43.08060975731866,-89.3781462890137
6200 Schroeder Rd,"6200 Schroeder Rd, Madison, Wisconsin, 53711",43.04640275946115,-89.48671411868172
211 S. Carroll St.,"211 S Carroll St, Madison, Wisconsin, 53703",43.07207946658759,-89.38293338129759
