X,Y,OBJECTID,ADDRESS,LONG_NAME,SHORT_NAME
-89.517675564575427,43.076014092114178,522,733 N High Point Rd,Alicia Ashman Branch Library,Alicia Ashman
-89.478673967444806,43.032474893386571,523,5726 Raymond Rd,Meadowridge Branch Library,Meadowridge
-89.395445636334671,43.040750163326365,524,2222 S Park St,Goodman South Madison Branch Library,South Madison
-89.415202014529967,43.065933010567932,525,1705 Monroe St,Monroe Street Brach Library,Monroe Street
-89.387529647018226,43.073580844177926,526,201 W Mifflin St,Central Library,Central
-89.362310960089204,43.127663860960645,527,2845 N Sherman Ave,Lakeview Branch Library,Lakeview
-89.345046689986773,43.10192397112138,528,2707 E Washington Ave,Hawthorne Brach Library,Hawthorne
-89.323769076909173,43.084616506821988,529,204 Cottage Grove Rd,Pinney Branch Library,Pinney
-89.450398313432544,43.053892892299039,530,4340 Tokay Blvd,Sequoya Branch Library,Sequoya
-89.424241283992217,43.002240652989158,531,5530 Lacy Rd,Fitchburg Public Library,Fitchburg
-89.28816332085546,43.013546553222994,532,5920 Milwaukee St,McFarland Public Library,McFarland
-89.509302892660855,43.094906206450794,533,7425 Hubbard Ave,Middleton Public Library,Middleton
-89.340744857322804,43.062902888015635,534,1000 Nichols Rd,Monona Public Library,Monona
-89.235518364539274,43.175664126205092,535,1350 Linnerud Dr,Sun Prairie Public Library,Sun Prairie
-89.528063340897702,42.997375977527362,536,500 Silent St,Verona Public Library,Verona
-89.455914194570752,43.184938744437524,537,710 South St,Waunakee Public Library,Waunakee
