Address,AddrCoor,Latitude,Longitude,injury,Date
6205 Hammersley Road,"6205 Hammersley Rd, Madison, Wisconsin, 53711",43.039069513994036,-89.489142,yes,2010-01-01T00:00:00.000Z
2121 East Spring Dr,"2121 E Springs Dr, Madison, Wisconsin, 53704",43.1269427404355,-89.29375040997816,no,2010-01-04T22:42:00.000Z
400 block W. Johnson Street,"400 E Johnson St, Madison, Wisconsin, 53703",43.0796583567774,-89.38316291664646,no,2010-01-10T00:23:00.000Z
400 block W. Johnson Street,"400 E Johnson St, Madison, Wisconsin, 53703",43.0796583567774,-89.38316291664646,no,2010-01-10T00:23:00.000Z
1000 block Regent Street,"1000 Regent St, Madison, Wisconsin, 53715",43.067769428441544,-89.40257324999997,no,2010-01-12T01:41:00.000Z
702 Pflaum Road (La Follette High School),Lafollette High School,43.06350002726601,-89.3184800617453,no,2010-01-08T15:04:00.000Z
400 block W. Gilman St.,"400 W Gilman St, Madison, Wisconsin, 53703",43.074827419289825,-89.39347833077154,no,2010-01-22T02:00:00.000Z
100 blk State  St,"100 State St, Madison, Wisconsin, 53703",43.07473349321933,-89.387019,yes,2010-01-31T02:13:00.000Z
Ohio Ave. @ St. Paul Ave.,"Ohio Ave & St Paul Ave, Madison, Wisconsin, 53704",43.09446600000001,-89.34742800000001,no,2010-02-05T16:04:00.000Z
900 block Spaight Street,"900 Spaight St, Madison, Wisconsin, 53703",43.0782632469697,-89.36795373439881,no,2010-02-12T21:35:00.000Z
8102 Excelsior Dr. (Baymont Inn),"8102 Excelsior Dr, Madison, Wisconsin, 53717",43.078950744099515,-89.52427152279486,no,2010-02-19T23:14:00.000Z
3000 Block of Harriman La,"3000 Harriman Ln, Madison, Wisconsin, 53713",43.04435139849655,-89.36296839849655,no,2010-02-24T00:03:00.000Z
N. Fair Oaks Ave.,"N Fair Oaks Ave, Madison, Wisconsin, 53714",43.10622063821296,-89.33059002800057,no,2010-02-25T11:24:00.000Z
Ten block of East Gilman St.,"E Gilman St, Madison, Wisconsin, 53703",43.079187900101395,-89.38720493723538,yes,2010-03-03T01:30:00.000Z
1700 Niemann Place,"1700 Niemann Pl, Madison, Wisconsin, 53711",43.03519330080514,-89.45107256508122,no,2010-03-05T08:14:00.000Z
1210 Williamson St.,"1210 Williamson St, Madison, Wisconsin, 53703",43.083500373593296,-89.36403890218695,no,2010-03-06T02:40:00.000Z
6700 W Beltline Hwy,"W Beltline Hwy, Madison, Wisconsin, 53719",43.046425279012944,-89.47365493699266,no,2010-03-09T21:48:00.000Z
1300 block N. Stoughton Rd.,"1300 S Stoughton Rd, Madison, Wisconsin, 53716",43.07740299933716,-89.30985770771959,no,2010-03-10T21:14:00.000Z
4300 block Beilfuss Drive,"4300 Beilfuss Dr, Madison, Wisconsin, 53704",43.141290960854825,-89.40045683807196,no,2010-03-07T16:39:00.000Z
1100 block Catalpa Circle,"1100 Catalpa Cir, Madison, Wisconsin, 53713",43.041857659756175,-89.40190761815535,no,2010-03-11T18:17:00.000Z
100 block S Bedford St.,"100 N Bedford St, Madison, Wisconsin, 53703",43.069675307511154,-89.39370534977684,no,2010-03-15T01:01:00.000Z
