Address,AddrCoor,Latitude,Longitude
3700 block Speedway Rd.,"3700 Speedway Rd, Madison, Wisconsin, 53705",43.06256466818918,-89.43635358724565
3000 Block of Darbo Drive,"3000 Darbo Dr, Madison, Wisconsin, 53714",43.1035970669437,-89.34085016418408
1129 S Park St,"1129 S Park St, Madison, Wisconsin, 53715",43.054272565093136,-89.39656452856498
5700 block Russett Road,"5700 Russett Rd, Madison, Wisconsin, 53711",43.03307183005276,-89.4770388931459
Verona Road near Midvale Blvd.,"Verona Rd, Madison, Wisconsin, 53711",43.02903078595674,-89.46358764085537
4400 Doe Crossing,"4400 Doe Crossing Trl, Madison, Wisconsin, 53704",43.14054361022916,-89.35970387575924
3030 Darbo Drive (Salvation Army),"3030 Darbo Dr, Madison, Wisconsin, 53714",43.10351748268775,-89.33936897155058
N. Park Street,"N Park St, Madison, Wisconsin, 53715",43.07316024153235,-89.4006400193296
1800 block Helene Pky,"1800 Helene Pkwy, Madison, Wisconsin, 53711",43.03498170430142,-89.45290679569857
500 block Oak Street,"500 Oak St, Madison, Wisconsin, 53704",43.105202118821246,-89.3431242456311
2201 S. Park St,"2201 S Park St, Madison, Wisconsin, 53713",43.041473999999994,-89.39391385688754
311 East Campus Mall (Walgreens),Walgreens,43.07221000000004,-89.39899999999994
400 block N. Lake St.,"400 N Lake St, Madison, Wisconsin, 53706",43.07319526220921,-89.39747379249184
1821 S. Park St,"1821 S Park St, Madison, Wisconsin, 53713",43.0474311618097,-89.39393445123817
Brule Street,"Brule St, Madison, Wisconsin, 53717",43.06821874479809,-89.5188207330888
"1300 blk. Debra La,","1300 Debra Ln, Madison, Wisconsin, 53704",43.147424156152255,-89.37374604625221
500 block Pine Street,"500 Pine St, Madison, Wisconsin, 53715",43.050921406894105,-89.3914894068941
3300 Clover Ln,"3300 Clove Dr, Madison, Wisconsin, 53704",43.139624287938204,-89.31880354098053
3030 Darbo Drive (Salvation Army),"3030 Darbo Dr, Madison, Wisconsin, 53714",43.10351748268775,-89.33936897155058
N. Marquette St.,"N Marquette St, Madison, Wisconsin, 53704",43.10218691212913,-89.34149448446914
3000 block E. Washington Ave.,"3000 E Washington Ave, Madison, Wisconsin, 53704",43.10385960382309,-89.34308214288689
2500 Block East Johnson St,"2500 E Johnson St, Madison, Wisconsin, 53704",43.1019962056488,-89.35215466319171
617 North Short Dr. (Brittingham Park),"617 N Shore Dr, Madison, Wisconsin, 53703",43.06523254206807,-89.38899369646285
131 East Towne Mall (Gordmans),Gordmans,43.12640000000005,-89.30368999999996
2302 Packers Ave. (Villa Tap),"2302 Packers Ave, Madison, Wisconsin, 53704",43.12332757507647,-89.35521560646872
2500 blk. Whitlock Rd,"2500 Whitlock Rd, Madison, Wisconsin, 53719",43.02622730892293,-89.50431370985117
452 State Street (Peace Park),"452 State St, Madison, Wisconsin, 53703",43.07483149711446,-89.39266761697164
Fair Oaks Ave,"S Fair Oaks Ave, Madison, Wisconsin, 53704",43.09555598452886,-89.3384438559333
724 S Gammon Rd (New Town Pub),"724 S Gammon Rd, Madison, Wisconsin, 53719",43.04943830835591,-89.50326958540556
5700 block Balsam Rd.,"5700 Balsam Rd, Madison, Wisconsin, 53711",43.03075300854579,-89.47860472210472
500 blk Moorland Rd.,"500 Moorland Rd, Madison, Wisconsin, 53713",43.03566947146069,-89.37806009605522
1600 block Troy Dr.,"1600 Troy Dr, Madison, Wisconsin, 53704",43.13367529731573,-89.36818780586826
300 block N. Mills St.,"300 S Mills St, Madison, Wisconsin, 53715",43.0641485055138,-89.40409755091461
Dane St. @ Park St.,"Dane St & S Park St, Madison, Wisconsin, 53713",43.043094,-89.39394
5800 block Raymond Rd.,"5800 Raymond Rd, Madison, Wisconsin, 53711",43.032039382767394,-89.47987649999999
5722 Russett road,"5722 Russett Rd, Madison, Wisconsin, 53711",43.03282339497357,-89.4784726408621
8100 blk. Mayo Dr.,"8100 Mayo Dr, Madison, Wisconsin, 53719",43.0329834994784,-89.52506545878295
1100 block Williamson Street,"1100 Williamson St, Madison, Wisconsin, 53703",43.082079076234756,-89.36611444480009
4300 Britta Parkway,"4300 Britta Pkwy, Madison, Wisconsin, 53711",43.03431313810813,-89.4486424074097
4000 block Highway 30,"4000 W Madison Blvd, Franklin, Wisconsin, 53132",42.91305059528024,-87.96704734093396
1754 Thierer Rd. (Motel 6),Motel 6,43.12277997388793,-89.31320005554247
4628 E. Washington Ave. (Chiptole restaurant),Chipotle,43.13030006275595,-89.30567004111573
1700 blk Blossom La.,"1700 Blossom Ln, Madison, Wisconsin, 53716",43.07445612133107,-89.3087562299064
2300 block Independence Lane,"2300 Independence Ln, Madison, Wisconsin, 53704",43.12900771724209,-89.3096644697541
5800 Block Balsam Road,"5800 Balsam Rd, Madison, Wisconsin, 53711",43.03091501625706,-89.47982823664155
2827 E. Washington Ave. (Simple Communications),"2827 E Washington Ave, Madison, Wisconsin, 53704",43.10244062138638,-89.34592043432994
2100 block Fisher St.,"2100 Fisher St, Madison, Wisconsin, 53713",43.04294760322378,-89.39191918715007
4600 block Atticus Way,"4600 Atticus Way, Madison, Wisconsin, 53711",43.03372900795071,-89.45517080693374
Northport Dr. & Dryden Dr.,"Northport Dr & Dryden Dr, Madison, Wisconsin, 53704",43.12810799999999,-89.359614
1600 block Fordem Ave.,"1600 Fordem Ave, Madison, Wisconsin, 53704",43.093421417347614,-89.36370241723306
2300 block Carling Dr.,"2300 Carling Dr, Madison, Wisconsin, 53711",43.02835881093745,-89.46130903609665
